Raw Data 		Experiment - wj-qpcr (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A2	Sample 2	3	3	1	7253490	84.41	0.09
A2	Sample 2	3	3	1	7254710	84.63	0.08
A2	Sample 2	3	3	1	7255950	84.81	0.09
A2	Sample 2	3	3	1	7257200	85.05	0.08
A2	Sample 2	3	3	1	7258420	85.22	0.09
A2	Sample 2	3	3	1	7259690	85.47	0.08
A2	Sample 2	3	3	1	7260920	85.65	0.10
A2	Sample 2	3	3	1	7262170	85.86	0.08
A2	Sample 2	3	3	1	7263400	86.04	0.10
A2	Sample 2	3	3	1	7264630	86.25	0.08
A2	Sample 2	3	3	1	7265860	86.46	0.09
A2	Sample 2	3	3	1	7267110	86.64	0.09
A2	Sample 2	3	3	1	7268330	86.83	0.08
A2	Sample 2	3	3	1	7269590	87.04	0.09
A2	Sample 2	3	3	1	7270820	87.25	0.09
A2	Sample 2	3	3	1	7272070	87.46	0.08
A2	Sample 2	3	3	1	7273310	87.68	0.09
A2	Sample 2	3	3	1	7274550	87.82	0.09
A2	Sample 2	3	3	1	7275790	88.04	0.08
A2	Sample 2	3	3	1	7277050	88.26	0.08
A2	Sample 2	3	3	1	7278280	88.47	0.08
A2	Sample 2	3	3	1	7279520	88.66	0.08
A2	Sample 2	3	3	1	7280750	88.86	0.08
A2	Sample 2	3	3	1	7282010	89.09	0.08
A2	Sample 2	3	3	1	7283250	89.28	0.07
A2	Sample 2	3	3	1	7284490	89.49	0.09
A2	Sample 2	3	3	1	7285730	89.67	0.09
A2	Sample 2	3	3	1	7286970	89.86	0.08
A2	Sample 2	3	3	1	7288210	90.11	0.09
A2	Sample 2	3	3	1	7289450	90.27	0.09
A2	Sample 2	3	3	1	7290690	90.48	0.08
A2	Sample 2	3	3	1	7291940	90.7	0.08
A2	Sample 2	3	3	1	7293170	90.86	0.07
A2	Sample 2	3	3	1	7294410	91.08	0.08
A2	Sample 2	3	3	1	7295650	91.27	0.09
A2	Sample 2	3	3	1	7296880	91.52	0.08
A2	Sample 2	3	3	1	7298110	91.7	0.09
A2	Sample 2	3	3	1	7299350	91.9	0.07
A2	Sample 2	3	3	1	7300600	92.09	0.09
A2	Sample 2	3	3	1	7301820	92.3	0.08
A2	Sample 2	3	3	1	7303080	92.5	0.07
A2	Sample 2	3	3	1	7304310	92.68	0.09
A2	Sample 2	3	3	1	7305550	92.88	0.08
A2	Sample 2	3	3	1	7306770	93.1	0.09
A2	Sample 2	3	3	1	7308020	93.32	0.10
A2	Sample 2	3	3	1	7309260	93.49	0.08
A2	Sample 2	3	3	1	7310500	93.71	0.09
A2	Sample 2	3	3	1	7311740	93.9	0.09
A2	Sample 2	3	3	1	7312990	94.13	0.08
A2	Sample 2	3	3	1	7314230	94.32	0.08
A2	Sample 2	3	3	1	7315460	94.49	0.09
A2	Sample 2	3	3	1	7316680	94.71	0.08
A3	Sample 3	2	2	1	140570	59.95	0.09
A3	Sample 3	2	2	2	239860	59.95	0.09
A3	Sample 3	2	2	3	339060	59.95	0.12
A3	Sample 3	2	2	4	438260	59.95	0.09
A3	Sample 3	2	2	5	537470	59.95	0.09
A3	Sample 3	2	2	6	636770	59.95	0.09
A3	Sample 3	2	2	7	736080	59.95	0.12
A3	Sample 3	2	2	8	835370	59.92	0.14
A3	Sample 3	2	2	9	934670	59.95	0.07
A3	Sample 3	2	2	10	1033970	59.95	0.12
A3	Sample 3	2	2	11	1133270	59.95	0.07
A3	Sample 3	2	2	12	1232580	59.95	0.09
A3	Sample 3	2	2	13	1331780	59.95	0.07
A3	Sample 3	2	2	14	1431090	59.95	0.09
